bank_account_id,account_number,bank_name,ifsc_code,branch
BANK-0353,1000000353,Bank of Baroda,SBIN004673,Bank of Baroda Main Branch
BANK-0354,1000000354,State Bank of India,SBIN004292,State Bank of India Main Branch
BANK-0355,1000000355,Canara Bank,SBIN003275,Canara Bank Main Branch
BANK-0356,1000000356,HDFC Bank,SBIN009094,HDFC Bank Main Branch
BANK-0357,1000000357,State Bank of India,SBIN006912,State Bank of India Main Branch
BANK-0358,1000000358,Bank of Baroda,SBIN007044,Bank of Baroda Main Branch
BANK-0359,1000000359,Punjab National Bank,SBIN003126,Punjab National Bank Main Branch
BANK-0360,1000000360,Bank of Baroda,SBIN002412,Bank of Baroda Main Branch
BANK-0361,1000000361,State Bank of India,SBIN006067,State Bank of India Main Branch
BANK-0362,1000000362,Punjab National Bank,SBIN008842,Punjab National Bank Main Branch
BANK-0363,1000000363,Bank of Baroda,SBIN007730,Bank of Baroda Main Branch
BANK-0364,1000000364,Canara Bank,SBIN007708,Canara Bank Main Branch
BANK-0365,1000000365,Canara Bank,SBIN002208,Canara Bank Main Branch
BANK-0366,1000000366,HDFC Bank,SBIN006194,HDFC Bank Main Branch
BANK-0367,1000000367,Axis Bank,SBIN002215,Axis Bank Main Branch
BANK-0368,1000000368,Punjab National Bank,SBIN008632,Punjab National Bank Main Branch
BANK-0369,1000000369,Axis Bank,SBIN009476,Axis Bank Main Branch
BANK-0370,1000000370,ICICI Bank,SBIN003102,ICICI Bank Main Branch
BANK-0371,1000000371,Canara Bank,SBIN003981,Canara Bank Main Branch
BANK-0372,1000000372,Canara Bank,SBIN003114,Canara Bank Main Branch
BANK-0373,1000000373,Punjab National Bank,SBIN009238,Punjab National Bank Main Branch
BANK-0374,1000000374,Canara Bank,SBIN001907,Canara Bank Main Branch
BANK-0375,1000000375,Canara Bank,SBIN003034,Canara Bank Main Branch
BANK-0376,1000000376,Bank of Baroda,SBIN003507,Bank of Baroda Main Branch
BANK-0377,1000000377,ICICI Bank,SBIN003697,ICICI Bank Main Branch
BANK-0378,1000000378,HDFC Bank,SBIN006286,HDFC Bank Main Branch
BANK-0379,1000000379,Axis Bank,SBIN004694,Axis Bank Main Branch
BANK-0380,1000000380,ICICI Bank,SBIN009501,ICICI Bank Main Branch
BANK-0381,1000000381,ICICI Bank,SBIN002292,ICICI Bank Main Branch
BANK-0382,1000000382,ICICI Bank,SBIN004216,ICICI Bank Main Branch
BANK-0383,1000000383,Axis Bank,SBIN005496,Axis Bank Main Branch
BANK-0384,1000000384,HDFC Bank,SBIN005961,HDFC Bank Main Branch
BANK-0385,1000000385,Bank of Baroda,SBIN009740,Bank of Baroda Main Branch
BANK-0386,1000000386,State Bank of India,SBIN009234,State Bank of India Main Branch
BANK-0387,1000000387,Axis Bank,SBIN003762,Axis Bank Main Branch
BANK-0388,1000000388,Bank of Baroda,SBIN003526,Bank of Baroda Main Branch
BANK-0389,1000000389,HDFC Bank,SBIN006531,HDFC Bank Main Branch
BANK-0390,1000000390,Canara Bank,SBIN001674,Canara Bank Main Branch
BANK-0391,1000000391,Canara Bank,SBIN001464,Canara Bank Main Branch
BANK-0392,1000000392,State Bank of India,SBIN001744,State Bank of India Main Branch
BANK-0393,1000000393,Axis Bank,SBIN005336,Axis Bank Main Branch
BANK-0394,1000000394,Axis Bank,SBIN004453,Axis Bank Main Branch
BANK-0395,1000000395,Canara Bank,SBIN007825,Canara Bank Main Branch
BANK-0396,1000000396,Bank of Baroda,SBIN001496,Bank of Baroda Main Branch
BANK-0397,1000000397,Punjab National Bank,SBIN009938,Punjab National Bank Main Branch
BANK-0398,1000000398,ICICI Bank,SBIN005949,ICICI Bank Main Branch
BANK-0399,1000000399,Punjab National Bank,SBIN005012,Punjab National Bank Main Branch
BANK-0400,1000000400,Canara Bank,SBIN007653,Canara Bank Main Branch
BANK-0401,1000000401,ICICI Bank,SBIN008430,ICICI Bank Main Branch
BANK-0402,1000000402,State Bank of India,SBIN001981,State Bank of India Main Branch
BANK-0403,1000000403,HDFC Bank,SBIN008202,HDFC Bank Main Branch
BANK-0404,1000000404,Punjab National Bank,SBIN008933,Punjab National Bank Main Branch
BANK-0405,1000000405,Punjab National Bank,SBIN004342,Punjab National Bank Main Branch
BANK-0406,1000000406,ICICI Bank,SBIN003353,ICICI Bank Main Branch
BANK-0407,1000000407,ICICI Bank,SBIN006231,ICICI Bank Main Branch
BANK-0408,1000000408,Axis Bank,SBIN006658,Axis Bank Main Branch
BANK-0409,1000000409,Punjab National Bank,SBIN003142,Punjab National Bank Main Branch
BANK-0410,1000000410,Canara Bank,SBIN007070,Canara Bank Main Branch
BANK-0411,1000000411,Bank of Baroda,SBIN002739,Bank of Baroda Main Branch
BANK-0412,1000000412,ICICI Bank,SBIN004960,ICICI Bank Main Branch
BANK-0413,1000000413,Punjab National Bank,SBIN003007,Punjab National Bank Main Branch
BANK-0414,1000000414,ICICI Bank,SBIN008366,ICICI Bank Main Branch
BANK-0415,1000000415,HDFC Bank,SBIN003308,HDFC Bank Main Branch
BANK-0416,1000000416,State Bank of India,SBIN001829,State Bank of India Main Branch
BANK-0417,1000000417,ICICI Bank,SBIN007293,ICICI Bank Main Branch
BANK-0418,1000000418,Canara Bank,SBIN007850,Canara Bank Main Branch
BANK-0419,1000000419,HDFC Bank,SBIN003616,HDFC Bank Main Branch
BANK-0420,1000000420,Canara Bank,SBIN006364,Canara Bank Main Branch
BANK-0421,1000000421,Bank of Baroda,SBIN006123,Bank of Baroda Main Branch
BANK-0422,1000000422,HDFC Bank,SBIN003610,HDFC Bank Main Branch
BANK-0423,1000000423,Punjab National Bank,SBIN009433,Punjab National Bank Main Branch
BANK-0424,1000000424,Punjab National Bank,SBIN009171,Punjab National Bank Main Branch
BANK-0425,1000000425,ICICI Bank,SBIN009148,ICICI Bank Main Branch
BANK-0426,1000000426,State Bank of India,SBIN002475,State Bank of India Main Branch
BANK-0427,1000000427,Punjab National Bank,SBIN009281,Punjab National Bank Main Branch
BANK-0428,1000000428,Punjab National Bank,SBIN004944,Punjab National Bank Main Branch
BANK-0429,1000000429,HDFC Bank,SBIN006781,HDFC Bank Main Branch
BANK-0430,1000000430,State Bank of India,SBIN001828,State Bank of India Main Branch
BANK-0431,1000000431,ICICI Bank,SBIN009108,ICICI Bank Main Branch
BANK-0432,1000000432,Bank of Baroda,SBIN008710,Bank of Baroda Main Branch
BANK-0433,1000000433,ICICI Bank,SBIN009793,ICICI Bank Main Branch
BANK-0434,1000000434,State Bank of India,SBIN002761,State Bank of India Main Branch
BANK-0435,1000000435,Punjab National Bank,SBIN003194,Punjab National Bank Main Branch
BANK-0436,1000000436,ICICI Bank,SBIN006992,ICICI Bank Main Branch
BANK-0437,1000000437,Canara Bank,SBIN007606,Canara Bank Main Branch
BANK-0438,1000000438,ICICI Bank,SBIN001741,ICICI Bank Main Branch
BANK-0439,1000000439,Punjab National Bank,SBIN001838,Punjab National Bank Main Branch
BANK-0440,1000000440,Bank of Baroda,SBIN004189,Bank of Baroda Main Branch
BANK-0441,1000000441,ICICI Bank,SBIN005728,ICICI Bank Main Branch
BANK-0442,1000000442,State Bank of India,SBIN007329,State Bank of India Main Branch
BANK-0443,1000000443,Bank of Baroda,SBIN008378,Bank of Baroda Main Branch
BANK-0444,1000000444,Canara Bank,SBIN005582,Canara Bank Main Branch
BANK-0445,1000000445,Canara Bank,SBIN002946,Canara Bank Main Branch
BANK-0446,1000000446,HDFC Bank,SBIN002584,HDFC Bank Main Branch
BANK-0447,1000000447,Punjab National Bank,SBIN007114,Punjab National Bank Main Branch
BANK-0448,1000000448,Canara Bank,SBIN006555,Canara Bank Main Branch
BANK-0449,1000000449,Bank of Baroda,SBIN006990,Bank of Baroda Main Branch
BANK-0450,1000000450,Canara Bank,SBIN003363,Canara Bank Main Branch
